date,new_cases,total_cases,new_deaths,total_deaths,new cases (7 day average),new cases (14 day average),cumulative cases (14 day average),S,C,LCG
2020-07-08,0.0,777.0,0.0,52.0,0.0,0.21428571428571427,777.2142857142857,0.8864038859056198,2.659219904857045,0.40202833289458106
2020-07-09,0.0,777.0,0.0,52.0,0.0,0.42857142857142855,777.6428571428571,0.8794674938554661,5.360386537561412,1.8007856909991957
2020-07-10,0.0,777.0,0.0,52.0,0.0,0.5,778.1428571428571,0.8758690842193366,6.279477263319732,1.9621420022487068
2020-07-11,0.0,777.0,0.0,52.0,0.42857142857142855,1.5714285714285714,779.7142857142857,0.8832826582268637,19.569855838010344,inf
2020-07-12,0.0,777.0,0.0,52.0,0.8571428571428571,1.7857142857142858,781.5,0.881025534565082,22.295445900502568,
2020-07-13,0.0,777.0,0.0,52.0,1.0,1.7857142857142858,783.2857142857143,0.8770369645482031,22.396840654231678,
2020-07-14,3.0,780.0,0.0,52.0,3.142857142857143,1.7857142857142858,785.0714285714286,0.8739890020094888,22.47494773697837,inf
2020-07-15,3.0,783.0,0.0,52.0,3.5714285714285716,2.0714285714285716,787.1428571428571,0.8703360224542668,26.18036447745859,inf
2020-07-16,1.0,784.0,0.0,52.0,3.5714285714285716,2.0714285714285716,789.2142857142857,0.870824671266596,26.16567380041375,inf
2020-07-17,15.0,799.0,0.0,52.0,3.5714285714285716,2.4285714285714284,791.6428571428571,0.8746895840014473,30.54144716354769,inf
2020-07-18,3.0,802.0,0.0,52.0,3.7142857142857144,2.4285714285714284,794.0714285714286,0.8848762311456551,30.18985568150989,inf
2020-07-19,0.0,802.0,0.0,52.0,3.2857142857142856,2.4285714285714284,796.5,0.8812724439325158,30.31331105177661,inf
2020-07-20,0.0,802.0,0.0,52.0,3.857142857142857,3.0,799.5,0.8675267748203714,38.039171767157185,inf
2020-07-21,4.0,806.0,0.0,52.0,1.7142857142857142,3.0,802.5,,,
2020-07-22,0.0,806.0,0.0,52.0,1.2857142857142858,3.5,806.0,,,
2020-07-23,5.0,811.0,0.0,52.0,2.4285714285714284,3.2857142857142856,809.2857142857143,,,
2020-07-24,0.0,811.0,0.0,52.0,2.4285714285714284,4.0,813.2857142857143,,,
2020-07-25,0.0,811.0,0.0,52.0,3.2857142857142856,3.2142857142857144,816.5,,,
2020-07-26,8.0,819.0,0.0,52.0,3.2857142857142856,3.2142857142857144,819.7142857142857,,,
2020-07-27,0.0,819.0,0.0,52.0,4.142857142857143,3.2142857142857144,822.9285714285714,,,
2020-07-28,10.0,829.0,0.0,52.0,4.714285714285714,3.2142857142857144,826.1428571428571,0.8664319204466477,40.80775652738667,0.5964709193364182
2020-07-29,0.0,829.0,0.0,52.0,5.142857142857143,3.7857142857142856,829.9285714285714,0.8675351245579632,48.00134999038281,0.6062194529463465
2020-07-30,11.0,840.0,0.0,52.0,4.0,3.9285714285714284,833.8571428571429,0.8658334761222162,49.910620120428135,0.6457854167103538
2020-07-31,4.0,844.0,0.0,52.0,4.0,3.5714285714285716,837.4285714285714,0.8662604273394365,45.350928018694454,0.395345955321428
2020-08-01,3.0,847.0,0.0,52.0,4.285714285714286,3.9285714285714284,841.3571428571429,0.8724812465184759,49.53033189736371,0.49507928414729196
2020-08-02,0.0,847.0,0.0,52.0,4.571428571428571,4.714285714285714,846.0714285714286,0.8712237866601305,59.52218437003332,0.6747621649297346
2020-08-03,0.0,847.0,0.0,52.0,3.0,4.214285714285714,850.2857142857143,0.8696825662216066,53.3035209140095,0.33738592265658296
2020-08-04,12.0,859.0,0.0,52.0,3.142857142857143,4.214285714285714,854.5,0.8724765290063494,53.132825143088176,
2020-08-05,2.0,861.0,0.0,52.0,4.285714285714286,4.0,858.5,0.8738646684831971,50.351045862024165,
2020-08-06,0.0,861.0,0.0,52.0,4.428571428571429,4.0,862.5,0.872536374994962,50.427697069081,
2020-08-07,5.0,866.0,0.0,52.0,4.428571428571429,4.214285714285714,866.7142857142857,0.8712754220288245,53.20607202392681,
2020-08-08,11.0,877.0,0.0,52.0,3.7142857142857144,4.214285714285714,870.9285714285714,0.87401748611706,53.039148064520646,
2020-08-09,1.0,878.0,0.0,52.0,3.4285714285714284,4.571428571428571,875.5,0.8704777147160879,57.76795136233362,
2020-08-10,0.0,878.0,0.0,52.0,5.428571428571429,4.571428571428571,880.0714285714286,0.8707850278392191,57.747564184118005,
2020-08-11,7.0,885.0,0.0,52.0,5.285714285714286,4.571428571428571,884.6428571428571,0.873684786357753,57.5559001036828,0.3438844769560925
2020-08-12,0.0,885.0,0.0,52.0,4.857142857142857,4.857142857142857,889.5,0.873611398160587,61.158281063029584,0.24223613977879888
2020-08-13,14.0,899.0,1.0,53.0,4.714285714285714,4.714285714285714,894.2142857142857,0.8740075425848632,59.33260335920694,0.17292515043609447
2020-08-14,4.0,903.0,0.0,53.0,4.714285714285714,6.071428571428571,900.2857142857143,0.8702673366458,76.74160740436493,0.5260133908788749
2020-08-15,8.0,911.0,0.0,53.0,6.0,5.714285714285714,906.0,0.8718149896459028,72.09917654968628,0.3754573757644297
2020-08-16,0.0,911.0,0.0,53.0,6.0,6.428571428571429,912.4285714285714,0.8673146981780959,81.53244244889429,0.3146519182800622
2020-08-17,0.0,911.0,0.0,53.0,6.714285714285714,6.357142857142857,918.7857142857143,0.8666001048395917,80.6930105801398,0.4146495741992906
2020-08-18,16.0,927.0,0.0,53.0,6.142857142857143,6.357142857142857,925.1428571428571,0.8697148709695119,80.40401948125685,0.4142692552747129
2020-08-19,0.0,927.0,0.0,53.0,8.0,6.928571428571429,932.0714285714286,0.8693013574396947,87.67303198370178,0.5545949582664562
2020-08-20,19.0,946.0,0.0,53.0,8.0,6.928571428571429,939.0,0.8677261551070587,87.8321867627495,0.5548874561393586
2020-08-21,0.0,946.0,0.0,53.0,8.0,8.642857142857142,947.6428571428571,0.8629691810470295,110.16781440106543,0.727832263110642
2020-08-22,21.0,967.0,0.0,53.0,7.857142857142857,8.357142857142858,956.0,0.8648224798827673,106.29762010931191,0.6952126130451837
2020-08-23,0.0,967.0,0.0,53.0,7.857142857142857,9.642857142857142,965.6428571428571,0.8571073042863293,123.75513315657598,0.7618707334413877
2020-08-24,0.0,967.0,0.0,53.0,10.571428571428571,9.642857142857142,975.2857142857143,0.8509172627236579,124.65539626251079,0.7694719304659268
2020-08-25,15.0,982.0,0.0,53.0,10.571428571428571,9.642857142857142,984.9285714285714,0.8503788887639407,124.73431545979179,0.77342934768724
2020-08-26,0.0,982.0,0.0,53.0,11.285714285714286,12.214285714285714,997.1428571428571,0.8487781916014583,158.29476320973845,0.9509936098196059
2020-08-27,38.0,1020.0,0.0,53.0,11.285714285714286,12.785714285714286,1009.9285714285714,0.843492515205062,166.73871386833275,1.03326904094303
2020-08-28,0.0,1020.0,0.0,53.0,11.285714285714286,12.5,1022.4285714285714,0.8376699293374379,164.14579917982348,0.7603110215617646
2020-08-29,26.0,1046.0,0.0,53.0,16.571428571428573,12.5,1034.9285714285713,0.8372521188604105,164.2277121820273,0.8232113304014295
